1.collectionobject.guid,"1,111-collectionobjectattachments,41.attachment.metadataText","1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.text3"
dc730734-1ed3-11e3-bfac-90b11c41863e,,548bd8a6-a0b5-11ed-803c-6c2b597b15e2
dc84de63-1ed3-11e3-bfac-90b11c41863e,,5485a550-a0b5-11ed-803c-6c2b597b15e2
dc84dd5f-1ed3-11e3-bfac-90b11c41863e,,546fe69f-a0b5-11ed-803c-6c2b597b15e2
dc84dd5f-1ed3-11e3-bfac-90b11c41863e,,54702389-a0b5-11ed-803c-6c2b597b15e2
dc84dd5f-1ed3-11e3-bfac-90b11c41863e,,547309da-a0b5-11ed-803c-6c2b597b15e2
dc84dd5f-1ed3-11e3-bfac-90b11c41863e,,5474bb46-a0b5-11ed-803c-6c2b597b15e2
dc84dd5f-1ed3-11e3-bfac-90b11c41863e,,5474c77a-a0b5-11ed-803c-6c2b597b15e2
dc84dc58-1ed3-11e3-bfac-90b11c41863e,,54744792-a0b5-11ed-803c-6c2b597b15e2
dc72238d-1ed3-11e3-bfac-90b11c41863e,,546fcdf2-a0b5-11ed-803c-6c2b597b15e2
dc72238d-1ed3-11e3-bfac-90b11c41863e,,5470e203-a0b5-11ed-803c-6c2b597b15e2
dc72238d-1ed3-11e3-bfac-90b11c41863e,,5472588c-a0b5-11ed-803c-6c2b597b15e2
dc72238d-1ed3-11e3-bfac-90b11c41863e,,5473e85f-a0b5-11ed-803c-6c2b597b15e2
dc72238d-1ed3-11e3-bfac-90b11c41863e,,547499d7-a0b5-11ed-803c-6c2b597b15e2
db58294f-1ed3-11e3-bfac-90b11c41863e,,5485a5ca-a0b5-11ed-803c-6c2b597b15e2
dc730af8-1ed3-11e3-bfac-90b11c41863e,,548bd8eb-a0b5-11ed-803c-6c2b597b15e2
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,546fe367-a0b5-11ed-803c-6c2b597b15e2
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,547052b9-a0b5-11ed-803c-6c2b597b15e2
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,54712802-a0b5-11ed-803c-6c2b597b15e2
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,547443ba-a0b5-11ed-803c-6c2b597b15e2
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,54749b50-a0b5-11ed-803c-6c2b597b15e2
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,5474a669-a0b5-11ed-803c-6c2b597b15e2
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,5474bcc1-a0b5-11ed-803c-6c2b597b15e2
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,5479e6d0-a0b5-11ed-803c-6c2b597b15e2
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,547b3fa0-a0b5-11ed-803c-6c2b597b15e2
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,547ccad1-a0b5-11ed-803c-6c2b597b15e2
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,547e241a-a0b5-11ed-803c-6c2b597b15e2
dc730eb3-1ed3-11e3-bfac-90b11c41863e,,547f6f62-a0b5-11ed-803c-6c2b597b15e2
dc73126c-1ed3-11e3-bfac-90b11c41863e,,5485a644-a0b5-11ed-803c-6c2b597b15e2
dc731628-1ed3-11e3-bfac-90b11c41863e,,547e5549-a0b5-11ed-803c-6c2b597b15e2
dc731628-1ed3-11e3-bfac-90b11c41863e,,54842136-a0b5-11ed-803c-6c2b597b15e2
dc731628-1ed3-11e3-bfac-90b11c41863e,,54842183-a0b5-11ed-803c-6c2b597b15e2
dc731628-1ed3-11e3-bfac-90b11c41863e,,548421cb-a0b5-11ed-803c-6c2b597b15e2
dc731628-1ed3-11e3-bfac-90b11c41863e,,54842581-a0b5-11ed-803c-6c2b597b15e2
dc731628-1ed3-11e3-bfac-90b11c41863e,,548425d3-a0b5-11ed-803c-6c2b597b15e2
dc731628-1ed3-11e3-bfac-90b11c41863e,,5484261d-a0b5-11ed-803c-6c2b597b15e2
dc731628-1ed3-11e3-bfac-90b11c41863e,,54842669-a0b5-11ed-803c-6c2b597b15e2
dc731628-1ed3-11e3-bfac-90b11c41863e,,548426b4-a0b5-11ed-803c-6c2b597b15e2
dc731628-1ed3-11e3-bfac-90b11c41863e,,548cd18f-a0b5-11ed-803c-6c2b597b15e2
dc7319e4-1ed3-11e3-bfac-90b11c41863e,,54708948-a0b5-11ed-803c-6c2b597b15e2
dc7319e4-1ed3-11e3-bfac-90b11c41863e,,5470ed11-a0b5-11ed-803c-6c2b597b15e2
dc7319e4-1ed3-11e3-bfac-90b11c41863e,,548b6550-a0b5-11ed-803c-6c2b597b15e2
dc7319e4-1ed3-11e3-bfac-90b11c41863e,,548b6599-a0b5-11ed-803c-6c2b597b15e2
dc7319e4-1ed3-11e3-bfac-90b11c41863e,,548b65e1-a0b5-11ed-803c-6c2b597b15e2
dc7319e4-1ed3-11e3-bfac-90b11c41863e,,548b6635-a0b5-11ed-803c-6c2b597b15e2
dc7319e4-1ed3-11e3-bfac-90b11c41863e,,548b6687-a0b5-11ed-803c-6c2b597b15e2
dc7319e4-1ed3-11e3-bfac-90b11c41863e,,548b66d3-a0b5-11ed-803c-6c2b597b15e2
dc731da2-1ed3-11e3-bfac-90b11c41863e,,54714c94-a0b5-11ed-803c-6c2b597b15e2
dc731da2-1ed3-11e3-bfac-90b11c41863e,,5472f462-a0b5-11ed-803c-6c2b597b15e2
dc731da2-1ed3-11e3-bfac-90b11c41863e,,5472f817-a0b5-11ed-803c-6c2b597b15e2
dc731da2-1ed3-11e3-bfac-90b11c41863e,,5473c154-a0b5-11ed-803c-6c2b597b15e2
dc731da2-1ed3-11e3-bfac-90b11c41863e,,5473e150-a0b5-11ed-803c-6c2b597b15e2
dca14d98-1ed3-11e3-bfac-90b11c41863e,,5484b661-a0b5-11ed-803c-6c2b597b15e2
db286009-1ed3-11e3-bfac-90b11c41863e,,54751c9d-a0b5-11ed-803c-6c2b597b15e2
db286009-1ed3-11e3-bfac-90b11c41863e,,54751ce9-a0b5-11ed-803c-6c2b597b15e2
db31c051-1ed3-11e3-bfac-90b11c41863e,,547a7539-a0b5-11ed-803c-6c2b597b15e2
db31c051-1ed3-11e3-bfac-90b11c41863e,,547b1bf1-a0b5-11ed-803c-6c2b597b15e2
db31c051-1ed3-11e3-bfac-90b11c41863e,,547bd022-a0b5-11ed-803c-6c2b597b15e2
db31c051-1ed3-11e3-bfac-90b11c41863e,,547c9827-a0b5-11ed-803c-6c2b597b15e2
db31c051-1ed3-11e3-bfac-90b11c41863e,,547f2063-a0b5-11ed-803c-6c2b597b15e2
dccdec47-1ed3-11e3-bfac-90b11c41863e,,5475f435-a0b5-11ed-803c-6c2b597b15e2
dccdec47-1ed3-11e3-bfac-90b11c41863e,,5475f4a8-a0b5-11ed-803c-6c2b597b15e2
dccdec47-1ed3-11e3-bfac-90b11c41863e,,54843783-a0b5-11ed-803c-6c2b597b15e2
dc950aa9-1ed3-11e3-bfac-90b11c41863e,,5485a6bc-a0b5-11ed-803c-6c2b597b15e2
dcb83408-1ed3-11e3-bfac-90b11c41863e,,546efdfa-a0b5-11ed-803c-6c2b597b15e2
dcb83408-1ed3-11e3-bfac-90b11c41863e,,5470330e-a0b5-11ed-803c-6c2b597b15e2
dcb83408-1ed3-11e3-bfac-90b11c41863e,,54709086-a0b5-11ed-803c-6c2b597b15e2
dcb83408-1ed3-11e3-bfac-90b11c41863e,,54719f8d-a0b5-11ed-803c-6c2b597b15e2
dcb83408-1ed3-11e3-bfac-90b11c41863e,,54723327-a0b5-11ed-803c-6c2b597b15e2
dcb83408-1ed3-11e3-bfac-90b11c41863e,,547256d7-a0b5-11ed-803c-6c2b597b15e2
dcb83408-1ed3-11e3-bfac-90b11c41863e,,5472ee4a-a0b5-11ed-803c-6c2b597b15e2
dcb83408-1ed3-11e3-bfac-90b11c41863e,,5473501f-a0b5-11ed-803c-6c2b597b15e2
dcb83408-1ed3-11e3-bfac-90b11c41863e,,547449b4-a0b5-11ed-803c-6c2b597b15e2
dcb83408-1ed3-11e3-bfac-90b11c41863e,,5485a732-a0b5-11ed-803c-6c2b597b15e2
dcb83408-1ed3-11e3-bfac-90b11c41863e,,548a9ba9-a0b5-11ed-803c-6c2b597b15e2
dcb83408-1ed3-11e3-bfac-90b11c41863e,,548a9bf3-a0b5-11ed-803c-6c2b597b15e2
dcb83408-1ed3-11e3-bfac-90b11c41863e,,548a9c3f-a0b5-11ed-803c-6c2b597b15e2
dcb83408-1ed3-11e3-bfac-90b11c41863e,,548a9c8a-a0b5-11ed-803c-6c2b597b15e2
