subject_entity_id,entity_relationship_type,,object_entity_IRI
dc938899-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000S25228
dc9389aa-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000S25184
dca456a2-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/0000S6038
dcc55dba-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000S25231
db1aadd9-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/0000S6021
dcb298f9-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/0000S7222
db754c7a-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000S11856
dcd8df0c-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/0000S7221
dcbd43e6-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000S25187
db32f5f2-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000S25181
db5fd3bd-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000S25193
db86a9f9-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000S25222
dcc5d12c-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000S25226
db80b010-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/0000S7211
dcab1984-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000S25182
0746759a-abff-4ab8-9f0c-118846b6c547,has 3D model,,https://www.morphosource.org/biological_specimens/000S25224
e6f19799-fcd1-4806-b930-bcbf832f0d37,has 3D model,,https://www.morphosource.org/biological_specimens/000S25225
c4cb8750-0586-424b-aa77-a3584e767d40,has 3D model,,https://www.morphosource.org/biological_specimens/000S25227
1b11a31d-a31d-4bda-ac72-12485602b06e,has 3D model,,https://www.morphosource.org/biological_specimens/000S25223
ffb1101e-f6e7-4146-b229-153c6ccf4947,has 3D model,,https://www.morphosource.org/biological_specimens/000S25186
6bb80678-952a-491a-a19c-ce8a5f2bc4de,has 3D model,,https://www.morphosource.org/biological_specimens/000S25229
a33cc96f-8cad-4784-a910-939aaead5060,has 3D model,,https://www.morphosource.org/biological_specimens/000S25180
9fb2fb24-5762-40ed-ad90-e050e9b25235,has 3D model,,https://www.morphosource.org/biological_specimens/000S25190
9419961d-69e7-4bd4-9ca1-ba055a742945,has 3D model,,https://www.morphosource.org/biological_specimens/000S25189
d167b5aa-2a60-415a-aad5-d812e47da45d,has 3D model,,https://www.morphosource.org/biological_specimens/000S25185
e44a2018-7f4a-4a1a-9fbc-7fc56935a531,has 3D model,,https://www.morphosource.org/biological_specimens/000S25188
7a1a2d70-1685-4ebb-9072-19df0163448c,has 3D model,,https://www.morphosource.org/biological_specimens/000S25191
