Collection Object GUID,Metadata Text,DNA Sequences Text3,,,
dc731628-1ed3-11e3-bfac-90b11c41863e,,547e5549-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC830507
dc731628-1ed3-11e3-bfac-90b11c41863e,,54842136-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF140791
dc731628-1ed3-11e3-bfac-90b11c41863e,,54842183-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF141290
dc731628-1ed3-11e3-bfac-90b11c41863e,,548421cb-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF140233
dc731628-1ed3-11e3-bfac-90b11c41863e,,54842581-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF139898
dc731628-1ed3-11e3-bfac-90b11c41863e,,548425d3-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF140054
dc731628-1ed3-11e3-bfac-90b11c41863e,,5484261d-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF141535
dc731628-1ed3-11e3-bfac-90b11c41863e,,54842669-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF141053
dc731628-1ed3-11e3-bfac-90b11c41863e,,548426b4-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF139590
dc731628-1ed3-11e3-bfac-90b11c41863e,,548cd18f-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/SRX10444861
dc7319e4-1ed3-11e3-bfac-90b11c41863e,,54708948-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF285945 
dc7319e4-1ed3-11e3-bfac-90b11c41863e,,5470ed11-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF285923 
dc7319e4-1ed3-11e3-bfac-90b11c41863e,,548b6550-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW630861
dc7319e4-1ed3-11e3-bfac-90b11c41863e,,548b6599-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW631659
dc7319e4-1ed3-11e3-bfac-90b11c41863e,,548b65e1-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW631263
dc7319e4-1ed3-11e3-bfac-90b11c41863e,,548b6635-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW631470
dc7319e4-1ed3-11e3-bfac-90b11c41863e,,548b6687-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW630655
dc7319e4-1ed3-11e3-bfac-90b11c41863e,,548b66d3-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/MW631068
dc731da2-1ed3-11e3-bfac-90b11c41863e,,54714c94-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF153300 
dc731da2-1ed3-11e3-bfac-90b11c41863e,,5472f462-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF149997 
dc731da2-1ed3-11e3-bfac-90b11c41863e,,5472f817-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF152157 
dc731da2-1ed3-11e3-bfac-90b11c41863e,,5473c154-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF150652 
dc731da2-1ed3-11e3-bfac-90b11c41863e,,5473e150-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF152130 
dca14d98-1ed3-11e3-bfac-90b11c41863e,,5484b661-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF929710
db286009-1ed3-11e3-bfac-90b11c41863e,,54751c9d-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/JN688807
db286009-1ed3-11e3-bfac-90b11c41863e,,54751ce9-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/JN688740
db31c051-1ed3-11e3-bfac-90b11c41863e,,547a7539-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC828087
db31c051-1ed3-11e3-bfac-90b11c41863e,,547b1bf1-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC828460
db31c051-1ed3-11e3-bfac-90b11c41863e,,547bd022-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC829091
