Attachment GUID,Metadata Text,Collection Object GUID
0d9ff454-046b-4c6e-82c4-378eaf503b1a,,dba9e78e-1ed3-11e3-bfac-90b11c41863e
0d9ff454-046b-4c6e-82c4-378eaf503b1a,,dba9e9fc-1ed3-11e3-bfac-90b11c41863e
0d9ff454-046b-4c6e-82c4-378eaf503b1a,,dba9ec6b-1ed3-11e3-bfac-90b11c41863e
0d9ff454-046b-4c6e-82c4-378eaf503b1a,,dba9eee5-1ed3-11e3-bfac-90b11c41863e
199c0aea-bf7e-4e02-947d-e2d3991a2a69,,dbaa0036-1ed3-11e3-bfac-90b11c41863e
199c0aea-bf7e-4e02-947d-e2d3991a2a69,,dbaa02b6-1ed3-11e3-bfac-90b11c41863e
199c0aea-bf7e-4e02-947d-e2d3991a2a69,,dbaa052f-1ed3-11e3-bfac-90b11c41863e
199c0aea-bf7e-4e02-947d-e2d3991a2a69,,dbaa07a9-1ed3-11e3-bfac-90b11c41863e
199c0aea-bf7e-4e02-947d-e2d3991a2a69,,dbaa0a2a-1ed3-11e3-bfac-90b11c41863e
95ffc292-a226-4ad7-8530-66d34e171a74,,dba9f162-1ed3-11e3-bfac-90b11c41863e
95ffc292-a226-4ad7-8530-66d34e171a74,,dba9f3dc-1ed3-11e3-bfac-90b11c41863e
95ffc292-a226-4ad7-8530-66d34e171a74,,dba9f655-1ed3-11e3-bfac-90b11c41863e
95ffc292-a226-4ad7-8530-66d34e171a74,,dba9f8cc-1ed3-11e3-bfac-90b11c41863e
95ffc292-a226-4ad7-8530-66d34e171a74,,dba9fb3f-1ed3-11e3-bfac-90b11c41863e
95ffc292-a226-4ad7-8530-66d34e171a74,,dba9fdba-1ed3-11e3-bfac-90b11c41863e
484d26d8-6ea4-4536-8ccc-a06c9164a3c8,,dba9f162-1ed3-11e3-bfac-90b11c41863e
484d26d8-6ea4-4536-8ccc-a06c9164a3c8,,dba9f3dc-1ed3-11e3-bfac-90b11c41863e
484d26d8-6ea4-4536-8ccc-a06c9164a3c8,,dba9f655-1ed3-11e3-bfac-90b11c41863e
484d26d8-6ea4-4536-8ccc-a06c9164a3c8,,dba9f8cc-1ed3-11e3-bfac-90b11c41863e
