occurrence_id,material_entity_id,material_entity_type,preparations,disposition,institution_code,institution_id,collection_code,collection_id,owner_institution_code,catalog_number,record_number,recorded_by,recorded_by_id,associated_references,associated_sequences,other_catalog_numbers
BR:Refauna:MNHN:Coleoptera:00121,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00122,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00123,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00124,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00125,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00126,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00127,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00128,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00129,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00130,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00131,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00132,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00133,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00134,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00135,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00136,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00137,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00138,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00139,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00140,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00141,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00142,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
