"material_entity_id","material_entity_type","preparations","dispositions","institution_code","institution_id","collection_code","collection_id","owner_institution_code","catalog_number","recorder_by","recorder_by_id","associated_references","associated_secuences","other_catalog_numbers"
"c15ebab5580ea647bc3283d00d5aa787","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","11371-OAX-1200","Flavio Aragón Cuevas; Víctor Serrano Altamirano","","","",""
"c163997f3bd74e648e63583b06d8d0fa","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","8109-VER-200","José Jiménez Ramírez","","","",""
"c16446c3fbdb0213b30007494966db26","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2000-0389-2","Hugo Perales Rivera","","","",""
"c1649d3c99ee50e9f4da3b410ebd9e7e","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","5440-OAX-236","Efraím Hernández-Xolocotzi Guzmán","","","",""
"c16dc646d083cecb325a74d7ecb81073","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-0394-2","Hugo Perales Rivera","","","",""
"c172aeec8725cbe8087c04d370264763","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","4286-MICH-158","Rogelio del Toro Stodelly","","","",""
"c17310cc9d68b4c17cfee270a128c164","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","5903-PUE-132","Efraím Hernández-Xolocotzi Guzmán","","","",""
"c17c740b0629a48e85b64a7619898df7","PreservedSpecimen","Germoplasma en conservación","","IMAREFI-CUCBA-UDG","","IMAREFI","","","10629-MICH-558","José Alfredo Carrera Valtierra","","","",""
"c17daffd0e00c7282e6360b9f679b403","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","7760-TLAX-185","Abel Muñoz Orozco; Salvador Domínguez Sánchez; Palafox; de la Vega; Ávila; de Haro; Alfonso Macías; Alberto Flores; Francisco Ramírez; Pimentel","","","",""
"c1937d15dfaf999fd4f4bfed23bf0c52","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1377-COAH-93","","","","",""
"c19a56f22f7d352f6d9de9b22cc517a6","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","6809-QROO-93","Higinio Mayorquín López","","","",""
"c19a92faebf9d1f2e0ccc721dfee4bda","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","2528-HGO-67","Federico López Herrera","","","",""
"c19c980554c5416a6ee8a160414de819","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","6965-SLP-113","Rogelio del Toro Stodelly","","","",""
"c1a6690b238ab0a69c5db275e5be566e","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","5138-NL-58","Ciro Valdez Montoya","","","",""
"c1b36b6d449bae3d58e29be1a0ede5c4","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","9286-CHIS-712","","","","",""
"c1b5105ce3a166fb5038690a3b9b2f21","PreservedSpecimen","Germoplasma en conservación","","CIRPAS-INIFAP","","BAGENO","","","11640-OAX-1469","F Humberto Castro García; Simón Méndez; Rafael Pérez González","","","",""
"c1b620eddbd37342ccd6593a8e60477c","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","7214-SIN-156","Ángel Andrés Jiménez Cordero","","","",""
"c1b6deb783087c8f8695e3dbd783af8a","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1296-COAH-12","","","","",""
"c1c23f1e513ee720427f111cc7c85db4","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","3668-MEX-268","Miguel Pedrizco Ramírez","","","",""
"c1c315a53f4c57aaae4f5d82ed718537","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","4239-MICH-114","Amador Terán y Terán","","","",""
"c1c407c8f20fa771c5e36810ab80b01b","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","721-CHIS-486","Rafael Ortega Paczka","","","",""
"c1c8812c02ecd70343a2c6c431f96597","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","2475-HGO-14","","","","",""
"c1c98549fd885f3e0cf08291a1ea56ae","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","970-CHIH-35","","","","",""
"c1cbd51f805578213e5ebf4ee3332160","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1527-DGO-67","","","","",""
"c1cdb1b358c65f849726f43e1941fca3","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","6350-PUE-590","Abel Muñoz Orozco; Manuel Livera Muñoz; Agustín López Herrera; Carlos Aguirre González; Víctor Arturo González Hernández; José Luis Arellano Vázquez; C Sánchez; Mauro Balderas Muñoz","","","",""
