"1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.text3","1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.text2","1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.moleculeType","1,99-leftsiderels,1-rightside,121-dnasequences,5-sequencer.dnasequence.sequencer"
5485106c-a0b5-11ed-803c-6c2b597b15e2,KF930228,CO1,Barcode of Life Initiative
548510b2-a0b5-11ed-803c-6c2b597b15e2,KF929815,CO1,Barcode of Life Initiative
547be97e-a0b5-11ed-803c-6c2b597b15e2,KC828832,ripk4,"Carpenter, Kent E"
547ca590-a0b5-11ed-803c-6c2b597b15e2,KC829535,sidkey,"Carpenter, Kent E"
546f6d03-a0b5-11ed-803c-6c2b597b15e2,AY308774 ,Rag1,"Holcroft Benson, Nancy I"
546f1e9b-a0b5-11ed-803c-6c2b597b15e2,FJ519597 ,CO1,"Wong, Eugene H-K"
54736f04-a0b5-11ed-803c-6c2b597b15e2,FN431855 ,16S,"Stelbrink, Bjorn"
5474132e-a0b5-11ed-803c-6c2b597b15e2,FN431736 ,CO1,"Stelbrink, Bjorn"
5471574b-a0b5-11ed-803c-6c2b597b15e2,FN431856 ,16S,"Stelbrink, Bjorn"
5473395f-a0b5-11ed-803c-6c2b597b15e2,FN431737 ,CO1,"Stelbrink, Bjorn"
5474fb3e-a0b5-11ed-803c-6c2b597b15e2,FJ519598 ,CO1,"Wong, Eugene H-K"
54714227-a0b5-11ed-803c-6c2b597b15e2,DQ912148 ,Rag2,"Li, Chenhong"
5471a459-a0b5-11ed-803c-6c2b597b15e2,DQ912078 ,16S,"Li, Chenhong"
5471b0f4-a0b5-11ed-803c-6c2b597b15e2,DQ912114 ,Rag1,"Li, Chenhong"
54724285-a0b5-11ed-803c-6c2b597b15e2,DQ912043 ,12S,"Li, Chenhong"
546e8bf7-a0b5-11ed-803c-6c2b597b15e2,DQ912149 ,Rag2,"Li, Chenhong"
546ff534-a0b5-11ed-803c-6c2b597b15e2,DQ912115 ,Rag1,"Li, Chenhong"
547091a2-a0b5-11ed-803c-6c2b597b15e2,DQ912079 ,16S,"Li, Chenhong"
547396e2-a0b5-11ed-803c-6c2b597b15e2,DQ912044 ,12S,"Li, Chenhong"
548510f7-a0b5-11ed-803c-6c2b597b15e2,KF929583,CO1,Barcode of Life Initiative
546e627e-a0b5-11ed-803c-6c2b597b15e2,DQ912116 ,Rag1,"Li, Chenhong"
546f87fd-a0b5-11ed-803c-6c2b597b15e2,EU552616 ,cyt b,"Wilson, Anthony B"
5470f04d-a0b5-11ed-803c-6c2b597b15e2,EU552779 ,16S,"Wilson, Anthony B"
5471af32-a0b5-11ed-803c-6c2b597b15e2,DQ912080 ,16S,"Li, Chenhong"
54728158-a0b5-11ed-803c-6c2b597b15e2,DQ912150 ,Rag2,"Li, Chenhong"
547313a2-a0b5-11ed-803c-6c2b597b15e2,DQ912045 ,12S,"Li, Chenhong"
5474415e-a0b5-11ed-803c-6c2b597b15e2,EU552697 ,12S,"Wilson, Anthony B"
547105ae-a0b5-11ed-803c-6c2b597b15e2,AB370893 ,mitochondrial DNA complete,"Setiamarga, Davin H"
5472225f-a0b5-11ed-803c-6c2b597b15e2,NC_011174 ,mitochondrial DNA complete,"Setiamarga, Davin H"
5485e3ca-a0b5-11ed-803c-6c2b597b15e2,KF930120,CO1,Barcode of Life Initiative
54773ec2-a0b5-11ed-803c-6c2b597b15e2,KC826135,Hoxc6a,"Broughton, Richard E"
54780103-a0b5-11ed-803c-6c2b597b15e2,KC826315,kiaa1239,"Orti, Guillermo"
5479c509-a0b5-11ed-803c-6c2b597b15e2,KC827735,Panx2,"Broughton, Richard E"
547b333d-a0b5-11ed-803c-6c2b597b15e2,KC828541,PTCHD1,"Lopez, Andres"
547bf43d-a0b5-11ed-803c-6c2b597b15e2,KC828833,ripk4,"Carpenter, Kent E"
547d4500-a0b5-11ed-803c-6c2b597b15e2,KC829884,SH3PX3,"Carpenter, Kent E"
547e1b65-a0b5-11ed-803c-6c2b597b15e2,KC830401,tbr1,"Lopez, Andres"
547f5da6-a0b5-11ed-803c-6c2b597b15e2,KC830825,zic1,"Broughton, Richard E"
546e69e5-a0b5-11ed-803c-6c2b597b15e2,U33737 ,16S,"Dimmick, Walter W"
546f76b3-a0b5-11ed-803c-6c2b597b15e2,U33659 ,28S,"Dimmick, Walter W"
54702a1b-a0b5-11ed-803c-6c2b597b15e2,U33735 ,12S,"Dimmick, Walter W"
54707e7a-a0b5-11ed-803c-6c2b597b15e2,FJ918838 ,myh6,"Devaney, Shannon C"
5470ec32-a0b5-11ed-803c-6c2b597b15e2,U33736 ,12S,"Dimmick, Walter W"
54718383-a0b5-11ed-803c-6c2b597b15e2,U33744 ,28S,"Dimmick, Walter W"
54719159-a0b5-11ed-803c-6c2b597b15e2,U33738 ,16S,"Dimmick, Walter W"
5471b6e1-a0b5-11ed-803c-6c2b597b15e2,U33741 ,18S,"Dimmick, Walter W"
54726cde-a0b5-11ed-803c-6c2b597b15e2,U33740 ,18S,"Dimmick, Walter W"
5472eec3-a0b5-11ed-803c-6c2b597b15e2,FJ906639 ,zic1,"Devaney, Shannon C"
5473be48-a0b5-11ed-803c-6c2b597b15e2,U33739 ,16S,"Dimmick, Walter W"
5473e940-a0b5-11ed-803c-6c2b597b15e2,U33743 ,28S,"Dimmick, Walter W"
5473efde-a0b5-11ed-803c-6c2b597b15e2,U33742 ,18S,"Dimmick, Walter W"
5479602b-a0b5-11ed-803c-6c2b597b15e2,KC828000,Panx2,"Broughton, Richard E"
547d06cb-a0b5-11ed-803c-6c2b597b15e2,KC829763,SH3PX3,"Carpenter, Kent E"
5484567f-a0b5-11ed-803c-6c2b597b15e2,KF929723,CO1,Barcode of Life Initiative
5485113d-a0b5-11ed-803c-6c2b597b15e2,KF930191,CO1,Barcode of Life Initiative
5485e410-a0b5-11ed-803c-6c2b597b15e2,KF929793,CO1,Barcode of Life Initiative
