digital_entity_id,digital_entity_type,access_uri,web_statement,format,license,rights,rights_uri,access_rights,rights_holder,source,source_uri,creator,created ,modified,language,bibliographic_citation,,,,,,,
https://n2t.net/ark:/65665/m3cba8ebd6-8566-46cb-81dc-ce8cc6d3333c,STILL_IMAGE,https://n2t.net/ark:/65665/m3cba8ebd6-8566-46cb-81dc-ce8cc6d3333c,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3f6ef0d21-1cb1-4147-a467-cbb4ad756479,STILL_IMAGE,https://n2t.net/ark:/65665/m3f6ef0d21-1cb1-4147-a467-cbb4ad756479,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3d71a7910-19b1-4190-9a7d-43f144c093b1,STILL_IMAGE,https://n2t.net/ark:/65665/m3d71a7910-19b1-4190-9a7d-43f144c093b1,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3e58e7e1b-1d74-4cdf-a5f7-d6e520ca2a49,STILL_IMAGE,https://n2t.net/ark:/65665/m3e58e7e1b-1d74-4cdf-a5f7-d6e520ca2a49,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3f5579e9c-25a7-4d89-b3ec-cc4152d056e9,STILL_IMAGE,https://n2t.net/ark:/65665/m3f5579e9c-25a7-4d89-b3ec-cc4152d056e9,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3817a43f0-c14b-416f-979f-6785bc80abca,STILL_IMAGE,https://n2t.net/ark:/65665/m3817a43f0-c14b-416f-979f-6785bc80abca,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m331ef51f5-c484-4584-b9a2-fe28a35c028b,STILL_IMAGE,https://n2t.net/ark:/65665/m331ef51f5-c484-4584-b9a2-fe28a35c028b,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m37cd0baaf-880f-48cb-8cb9-f15da5c4335b,STILL_IMAGE,https://n2t.net/ark:/65665/m37cd0baaf-880f-48cb-8cb9-f15da5c4335b,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m31206c5f4-19b1-4563-949a-6765e5332d8a,STILL_IMAGE,https://n2t.net/ark:/65665/m31206c5f4-19b1-4563-949a-6765e5332d8a,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3b9e1b4db-1104-48f3-afa7-fcf573bdae95,STILL_IMAGE,https://n2t.net/ark:/65665/m3b9e1b4db-1104-48f3-afa7-fcf573bdae95,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m31f4476ec-bf87-478f-9b35-b38ff3bfbfed,STILL_IMAGE,https://n2t.net/ark:/65665/m31f4476ec-bf87-478f-9b35-b38ff3bfbfed,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m333fabbf7-35c1-40f2-a86c-116faa5d2d00,STILL_IMAGE,https://n2t.net/ark:/65665/m333fabbf7-35c1-40f2-a86c-116faa5d2d00,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m301acceba-562e-4ea4-8b93-c1ec8a4dea86,STILL_IMAGE,https://n2t.net/ark:/65665/m301acceba-562e-4ea4-8b93-c1ec8a4dea86,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3eabff115-6b74-4e70-9b83-53f16a8626ab,STILL_IMAGE,https://n2t.net/ark:/65665/m3eabff115-6b74-4e70-9b83-53f16a8626ab,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m36628417d-e5c6-4cfa-a8ba-7393283c2920,STILL_IMAGE,https://n2t.net/ark:/65665/m36628417d-e5c6-4cfa-a8ba-7393283c2920,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m32400ee46-fb8b-4231-bba1-df497ffe7f12,STILL_IMAGE,https://n2t.net/ark:/65665/m32400ee46-fb8b-4231-bba1-df497ffe7f12,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m307c80001-fc8a-40f7-9031-5f2e03cc6c54,STILL_IMAGE,https://n2t.net/ark:/65665/m307c80001-fc8a-40f7-9031-5f2e03cc6c54,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m33ce3845a-b192-42db-80ab-dfa8fb9cbd0f,STILL_IMAGE,https://n2t.net/ark:/65665/m33ce3845a-b192-42db-80ab-dfa8fb9cbd0f,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3b9a9bc12-adac-48dc-916a-68eddcedb5c9,STILL_IMAGE,https://n2t.net/ark:/65665/m3b9a9bc12-adac-48dc-916a-68eddcedb5c9,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3ba01170a-db6b-4689-926d-e5a0bd8b92c9,STILL_IMAGE,https://n2t.net/ark:/65665/m3ba01170a-db6b-4689-926d-e5a0bd8b92c9,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3b7e1d98a-56c9-4f34-b405-2edc1dadf5ef,STILL_IMAGE,https://n2t.net/ark:/65665/m3b7e1d98a-56c9-4f34-b405-2edc1dadf5ef,,tiff,CC-BY-NC,Usage Conditions Apply,https://www.si.edu/termsofuse,Usage Conditions Apply,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3627257ff-1fdb-4a5d-b33b-dbf28c509f4f,STILL_IMAGE,https://n2t.net/ark:/65665/m3627257ff-1fdb-4a5d-b33b-dbf28c509f4f,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Department of Paleobiology,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3c6b3fe78-9792-4f27-b49c-3523ce536e73,STILL_IMAGE,https://n2t.net/ark:/65665/m3c6b3fe78-9792-4f27-b49c-3523ce536e73,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Department of Paleobiology,,,EN,,,,,,,,
