assertion_id,assertion_target_id,assertion_target_type,assertion_parent_assertion_id,assertion_type,assertion_made_date,assertion_effective_date,assertion_value,assertion_value_numeric,assertion_unit,assertion_by_agent_name,assertion_by_agent_id,assertion_protocol,assertion_protocol_id,assertion_remarks
45109be9-c9b4-41f1-277d-0cb004b8d5aa,dbbc9feb-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,295mm SL,,,,,,,
43edad3c-26b2-ad52-4aee-aab5d089ead0,dbbca0f7-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,290mm SL,,,,,,,
70c80bef-c53e-56fc-de82-0db2cbb06ca8,dbbca200-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,280mm SL,,,,,,,
c52b521c-c736-18d1-99b4-b72c851e10de,dbbca308-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,290mm SL,,,,,,,
0f804e1e-aec6-2484-96c6-ed33b12ecc18,dbbca410-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,290mm SL,,,,,,,
8cb1329b-e112-ce14-558e-3b2054db1ea2,dbbca518-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,290mm SL,,,,,,,
2699ebc9-1ffa-fa13-b3e8-952ad77352fe,dbbca620-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,310mm SL,,,,,,,
d0318149-077d-1328-b392-234e65616f81,dbbca728-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,315mm SL,,,,,,,
a367be0f-93d2-6ab1-8c9d-49f4165e40fa,dbbca833-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,305mm SL,,,,,,,
a699554d-fd62-20e2-b609-12645a23b46a,dbbca93a-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,295mm SL,,,,,,,
b61219e1-a3e2-a48b-7071-1e29df2f81fc,dbbcaa42-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,285mm SL,,,,,,,
4ec6e27d-a2d9-587c-7f34-96a6a9127ba5,dbbcb2eb-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,17-56mm SL,,,,,,,
9908f87e-0a08-6908-9f7b-c3382954cebd,dbbcebd5-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,500mm SL,,,,,,,
fbd427b5-b434-c3c7-ae87-dde8e36e21a1,dbbd8cc8-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,540mm SL,,,,,,,
baa13774-37bf-1848-53b0-dcef4947695c,dbbd9a77-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,293mm SL,,,,,,,
432f1052-d15a-0799-bf9f-55dbeb37df23,dbbd9b86-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,265mm SL,,,,,,,
96eed096-7372-77f6-2afd-48a5c648c3d1,dbbd9eb9-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,430mm SL,,,,,,,
99b4be0b-2bd5-d294-1070-604e2cb18e1b,dbbdb387-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,260mm SL,,,,,,,
