Collection Object GUID,Col Obj Attribute Size
dbd67116-1ed3-11e3-bfac-90b11c41863e,200mm SL
dbd67220-1ed3-11e3-bfac-90b11c41863e,40-48mm SL
dbd67329-1ed3-11e3-bfac-90b11c41863e,27-68mm SL
dbd6742e-1ed3-11e3-bfac-90b11c41863e,63-76mm SL
dbd67534-1ed3-11e3-bfac-90b11c41863e,23mm SL
dbd67641-1ed3-11e3-bfac-90b11c41863e,56mm SL
dbd67748-1ed3-11e3-bfac-90b11c41863e,48-56mm SL
dbd6784d-1ed3-11e3-bfac-90b11c41863e,23-47mm SL
dbd67954-1ed3-11e3-bfac-90b11c41863e,34-47mm SL
dbd67b6b-1ed3-11e3-bfac-90b11c41863e,46-69mm SL
dbd67c74-1ed3-11e3-bfac-90b11c41863e,38-79mm SL
dbd67d7a-1ed3-11e3-bfac-90b11c41863e,33-58mm SL
dbd67e87-1ed3-11e3-bfac-90b11c41863e,64-110mm SL
dbd68335-1ed3-11e3-bfac-90b11c41863e,27-40mm SL
dbd6844a-1ed3-11e3-bfac-90b11c41863e,40-54mm SL
dbd68550-1ed3-11e3-bfac-90b11c41863e,23-45mm SL
dbd68659-1ed3-11e3-bfac-90b11c41863e,31-49mm SL
dbd68764-1ed3-11e3-bfac-90b11c41863e,33mm SL
dbd87363-1ed3-11e3-bfac-90b11c41863e,45mm SL
dbd874c8-1ed3-11e3-bfac-90b11c41863e,25-43mm SL
dbd875ee-1ed3-11e3-bfac-90b11c41863e,60mm SL
dbd87700-1ed3-11e3-bfac-90b11c41863e,23-36mm SL
dbd8780c-1ed3-11e3-bfac-90b11c41863e,60mm SL
dbd8791e-1ed3-11e3-bfac-90b11c41863e,28-60mm SL
dbd87a37-1ed3-11e3-bfac-90b11c41863e,34-41mm SL
dbd87b45-1ed3-11e3-bfac-90b11c41863e,28-33mm SL
dbd87c4d-1ed3-11e3-bfac-90b11c41863e,31-39mm SL
dbd87d4f-1ed3-11e3-bfac-90b11c41863e,34-40mm SL
