material_entity_id,material_entity_type,preparations,disposition,institution_code,institution_id,collection_code,collection_id,owner_institution_code,catalog_number,record_number,recorded_by,recorded_by_id,associated_references,associated_sequences,other_catalog_numbers
56ccaac15927d9a7fd0b187874943ef41cc12f7b,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45796,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:45796
9ef6e90c530c661d716af5daed1ab22569468b40,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45798,,Miguel Guzmán,MG,,,ECOSUR-SC:ECOAB:45798
3df0833ee87ca7b415b7be1c0cbd3472a1dd5b02,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45799,,Miguel Guzmán,MG,,,ECOSUR-SC:ECOAB:45799
7cf4a5a19d4203fc4b36cf48706e4d92c41b87e8,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45801,,César López,CL,,,ECOSUR-SC:ECOAB:45801
72589dea17e51826568891fe60cc48684fabbafc,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45857,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:45857
58db44b981e7a1b9903203ba66df0ea6cae0f12f,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45860,,Fermin,F,,,ECOSUR-SC:ECOAB:45860
cd8b90a8312e0348874d5d4128f6f667ee04ebf5,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45862,,Jorge Mérida,JM,,,ECOSUR-SC:ECOAB:45862
93520e8f796ea9fe9c103738917d1ad8cf116a5e,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45873,,Miguel Guzmán,MG,,,ECOSUR-SC:ECOAB:45873
8146b4b246fa0941a3626d383f44e9ea17f73b33,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45874,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:45874
2e6e443d68df7c2369657f55c627cfc98fa415b9,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45876,,Carlos Balboa,CB,,,ECOSUR-SC:ECOAB:45876
cf9b81876c7bdf2b61a030247e228067deac09c4,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45878,,Miguel Cigarroa,MC,,,ECOSUR-SC:ECOAB:45878
bc98124a5db4b3d6b61ae7f4536ae3584211e9f9,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45879,,Carlos Balboa,CB,,,ECOSUR-SC:ECOAB:45879
