identification_id,organism_id,identification_type,taxon_formula,verbatim_identification,type_status,identified_by,identified_by_id,date_identified,identification_references,identification_verification_status,identification_remarks,type_designation_type,type_designated_by
edd5fda71e2d65cc32b0920bce1e552e83a4b7ca,8dfd41756dce698f08f8a0b209e11eb44c8dac20,features,A,,,Philippe Sagot,PS,,,,,,
2adb6ec8ebe37a6250e0c18cab20ace13202add6,aa8aedd365f0fcc3abd77ac233f006f8041b10d6,features,A,,,Philippe Sagot,PS,,,,,,
23328276b87b671168b0ba48c5084679436bad9d,0a4a1dc71a9becd71c755c08921cd6da755976fb,features,A,,,Philippe Sagot,PS,,,,,,
20471a59f8a703ac1da4b5d45277474e939b0799,03cb47d1c5792e4f2c5ca20de1edcf999b70ca80,features,A,,,Jorge Mérida,JM,,,,,,
466c8f405d38e22d0446bffe6d75bd2ce9378025,d791218e59769a86fb77171411c988f349184edc,features,A,,,Jorge Mérida,JM,,,,,,
2afea61e1e8fac49092cdff83fa1328826c158be,4c0a97851273a9c95b6b91ffef211fcfc75bd1ae,features,A,,,Jorge Mérida,JM,,,,,,
bd52a1699af5a96ded6b82fbe9102b57472d7eeb,da30c5864fae5420f14093877a43d0a5718bbec3,features,A,,,Jorge Mérida,JM,,,,,,
3a10f2222ca57a001335a73936400c48f574d404,74bec5610a5e09fa8dfc33c381ad62014f32262d,features,A,,,Philippe Sagot,PS,,,,,,
39a89673af78c93274542ba0b3e0c580dd3f5d7c,c23ff8fe60252d35bafd61f363ac8be6fe76be68,features,A,,,Philippe Sagot,PS,,,,,,
8e0b4fbb6b90c2127b7d169670f2058ec3a55a1c,676b1a3d53c095acb6a880bcbdebae822ae0b9db,features,A,,,Philippe Sagot,PS,,,,,,
cd6f91ec0cbf87537feb9a29c7668f23390bef87,54c8d41bad82867d8c4a627b5adf6016b13c46d3,features,A,,,Philippe Sagot,PS,,,,,,
05a29caf0d34b6807f5b5a2eaf5752b52bf50771,850f31326378763b00308f905e8a1ef29fbbdc8e,features,A,,,Philippe Sagot,PS,,,,,,
f79376f6a4f47b8bdea348dada2488ad95498ea6,360283680609afc73788afbf7db33572e0f4a76e,features,A,,,Philippe Sagot,PS,,,,,,
25c57ce0ed1befa9559547d7f3148d70d0ef3838,d38e85ffbb9e1ec7db37f53ffa74f202182d2432,features,A,,,Philippe Sagot,PS,,,,,,
7d1133a35b16d3e99c2e82a8dc819afa7177d1f6,40d7241a7a917f6949398deed64d3f186cf1d372,features,A,,,Philippe Sagot,PS,,,,,,
7f4349b67c17d5cea8f0211a39fee8216e855ef5,7b14c733d106e400c2a23ba2edfd04db067fa191,features,A,,,Philippe Sagot,PS,,,,,,
58c21bb8f6e56496a91f1959d24ae0f57d80c98e,92f615200b988bc5bfcd3a8c44768816ef5e1c88,features,A,,,Philippe Sagot,PS,,,,,,
ce0c334a11ff1612d38b1e7ba1181d25a163796d,e8055b1d6e70f6d8c9ad29a6290e3e8f5be35295,features,A,,,Jorge Mérida,JM,,,,,,
a23eff1642b2d304357a0d86892064f108fe30bc,14855e89e0cce99f0fa65ff5877d4464ab0e5236,features,A,,,Jorge Mérida,JM,,,,,,
e542538bd6c44ffa3cdb970c1cf1c05078253789,4ffa81b27c0daab47ce7b9cc5bea88d389cc346b,features,A,,,Jorge Mérida,JM,,,,,,
1e9f959233c3d274a0ac5bd8661a8f3d412effcf,df09c578da64638de636618e1be2c6cd2a95f2de,features,A,,,Jorge Mérida,JM,,,,,,
fb2f152139b75507621701315fe5ddd446ccf0f2,fb2f474040324181422c96ea15a68ac81cdbc279,features,A,,,Jorge Mérida,JM,,,,,,
ce414941738f04063e1219957536bf9891af26a5,04c9e9034236c5bb3230aeec4e49c966944132e1,features,A,,,Jorge Mérida,JM,,,,,,
3c854c1e6e4dbea87cbc8d0983f40e8d3c290be7,53b07b2a89885b47dbcc3efd0cfb96e557e60e2b,features,A,,,Jorge Mérida,JM,,,,,,
060150b1339e9a94504e39b954f7ee4ad740e85d,c1e8962166cb96b1ffdb07f62170ddacf56b4c2f,features,A,,,Jorge Mérida,JM,,,,,,
07ef285acacb713e5ca11a2f8a854c4c19a93ab3,3aa2ac436320c9bc851171f662d8e603103317c2,features,A,,,Philippe Sagot,PS,,,,,,
454dd4f3adbb5c7e65fa64734bea9c34da0a3451,bc9ac021c3746cba0973bd444885766e4b3a2ebe,features,A,,,Philippe Sagot,PS,,,,,,
6cc2375feb0249b91c6979d0c0c8792e0f46e39f,1feae749ff79b2b568caebe7db4e35a728c76c86,features,A,,,Philippe Sagot,PS,,,,,,
3b7da72a0e195d29e20b64f6a856659a2063e305,aa94b9820537cdd8a2b8916b9313b4735e526431,features,A,,,Philippe Sagot,PS,,,,,,
a8b04ee1ded132c17bde8640982cee86d277a318,2f4bacdc463e12e28dafa2f422a20a71436cb58b,features,A,,,Jorge Mérida,JM,,,,,,
a25f6e117169535f4623b21df014d1050acfd74e,a66e3cd112fec3da310446d73f6dae896b750230,features,A,,,Jorge Mérida,JM,,,,,,
e7b3c9f8d3fc4ee161ffb2ab071aa7131dd4363a,9b833001ca82ef61e87a6dc1529c231e724c5d80,features,A,,,Jorge Mérida,JM,,,,,,
aa15e937bbd0ed175f0d3d7e89fe9626a6d62b35,49a2b11abbb68bbdd36a27319d6fda6f213b6130,features,A,,,Philippe Sagot,PS,,,,,,
b59311187d8df4b4a4f503a88388038ff6c08fce,cadabc6548cc7a243ff8146bfc34cf5ef1e0a0df,features,A,,,Philippe Sagot,PS,,,,,,
d658ce6acc6707a97bd929f4d3186d6edccb5add,26b366d6770452f50c7982127e98137aa7701ae3,features,A,,,Philippe Sagot,PS,,,,,,
73e7f96041ab28f5536e219f5ef2b12129e76c72,bbca8c1a266c279131445a21cb3af934b6217c32,features,A,,,Philippe Sagot,PS,,,,,,
