taxon_id,scientific_name,scientific_name_authorship,name_according_to,name_according_to_id,taxon_rank,taxon_source,scientific_name_id,taxon_remarks,parent_taxon_id,taxonomic_status,kingdom,phylum,class,order,family,subfamily,genus,subgenus,accepted_scientific_name
90ff7bf90ec9ca6ff572ac3ac2aace0dd67ddc7c,Amaranthaceae,,,,family,,,,,,Plantae,Tracheophyta,Equisetopsida,Caryophyllales,Amaranthaceae,,,,
c1876768cb6a7be591a176fa7a44c8cbbdf622e1,Ludwigia octovalvis,,,,species,,,"{""verbatimScientificName"": ""Ludwigia octovalvis""}",,,Plantae,Tracheophyta,Equisetopsida,Myrtales,Onagraceae,,Ludwigia,,
41e0ad81ca13dabafe6187076dbecea320a8b947,Zygophyllaceae,,,,family,,,,,,Plantae,Tracheophyta,Equisetopsida,Zygophyllales,Zygophyllaceae,,,,
5910a476083147604eb7316802bef3f09de71caa,Simsia,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Simsia,,
556eeea64337c417970d2db28c8b0bc0cc2f953f,Elephantopus,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Elephantopus,,
791d2fbacfc4cc8fae45a2e8a404f51f2e70b674,Solanum tuberosum,,,,species,,,"{""verbatimScientificName"": ""Solanum tuberosum""}",,,Plantae,Tracheophyta,Equisetopsida,Solanales,Solanaceae,,Solanum,,
5472ce1f5a9393ce612b8a88f36c03829372917b,Psychotria,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Gentianales,Rubiaceae,,Psychotria,,
76d4a636a900297da566de82b3483fbf49f870b6,Capparis,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Brassicales,Capparaceae,,Capparis,,
ed4a3b16097872c502e2e035b9256b269f8f6106,Terminalia catappa,,,,species,,,"{""verbatimScientificName"": ""Terminalia catappa""}",,,Plantae,Tracheophyta,Equisetopsida,Myrtales,Combretaceae,,Terminalia,,
cc4e51ef33538f81b99e5518b1485f3f902d8c25,Ficus insipida,,,,species,,,"{""verbatimScientificName"": ""Ficus insipida""}",,,Plantae,Tracheophyta,Equisetopsida,Rosales,Moraceae,,Ficus,,
