occurrenceID,relatedResourceID,resourceID,relationshipOfResource,relationshipOfResourceID
ECOSUR-SC:ECOAB:120328,SACOFF,ECOSUR-SC:ECOAB:120328,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120338,SACOFF,ECOSUR-SC:ECOAB:120338,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120339,SACOFF,ECOSUR-SC:ECOAB:120339,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120955,TECGRA,ECOSUR-SC:ECOAB:120955,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120956,TECGRA,ECOSUR-SC:ECOAB:120956,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120957,TECGRA,ECOSUR-SC:ECOAB:120957,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:121059,SACOFF,ECOSUR-SC:ECOAB:121059,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:121061,SACOFF,ECOSUR-SC:ECOAB:121061,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:121075,SACOFF,ECOSUR-SC:ECOAB:121075,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:121076,SACOFF,ECOSUR-SC:ECOAB:121076,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:121077,SACOFF,ECOSUR-SC:ECOAB:121077,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:121078,SACOFF,ECOSUR-SC:ECOAB:121078,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:121079,SACOFF,ECOSUR-SC:ECOAB:121079,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:121080,SACOFF,ECOSUR-SC:ECOAB:121080,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:121081,SACOFF,ECOSUR-SC:ECOAB:121081,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:121115,SACOFF,ECOSUR-SC:ECOAB:121115,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:121116,SACOFF,ECOSUR-SC:ECOAB:121116,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:121117,SACOFF,ECOSUR-SC:ECOAB:121117,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:121216,SACOFF,ECOSUR-SC:ECOAB:121216,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:121217,SACOFF,ECOSUR-SC:ECOAB:121217,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:121218,SACOFF,ECOSUR-SC:ECOAB:121218,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:121219,SACOFF,ECOSUR-SC:ECOAB:121219,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:121220,SACOFF,ECOSUR-SC:ECOAB:121220,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
