4.taxon.guid,4.taxon.fullName,4.taxon.author,4.taxon.rankId,4.taxon.source
91ba2c07-9e58-11ed-803c-6c2b597b15e2,Paralepididae,,140,Nelson 1984
91ba2d32-9e58-11ed-803c-6c2b597b15e2,Pristidae,,140,Nelson 1984
91ba2e60-9e58-11ed-803c-6c2b597b15e2,Rhinochimaeridae,,140,Nelson 1984
91ba2f8e-9e58-11ed-803c-6c2b597b15e2,Bothidae,,140,Nelson 1984
91ba30b5-9e58-11ed-803c-6c2b597b15e2,Caproidae,,140,Nelson 1984
91ba31e8-9e58-11ed-803c-6c2b597b15e2,Moridae,,140,Nelson 1984
91ba3326-9e58-11ed-803c-6c2b597b15e2,Lotidae,,140,Nelson 1984
91ba3458-9e58-11ed-803c-6c2b597b15e2,Gasterosteidae,,140,Nelson 1984
91ba3582-9e58-11ed-803c-6c2b597b15e2,Scaridae,,140,Nelson 1984
91ba36aa-9e58-11ed-803c-6c2b597b15e2,Trichiuridae,,140,Nelson 1984
91ba37d3-9e58-11ed-803c-6c2b597b15e2,Aphredoderidae,,140,Nelson 1984
91ba38fe-9e58-11ed-803c-6c2b597b15e2,Bovichtidae,,140,Nelson 1984
91ba3a24-9e58-11ed-803c-6c2b597b15e2,Aplodactylidae,,140,Nelson 1984
91ba3b4b-9e58-11ed-803c-6c2b597b15e2,Creediidae,,140,Nelson 1984
91ba3c38-9e58-11ed-803c-6c2b597b15e2,Siluridae,,140,Nelson 1984
91ba3d22-9e58-11ed-803c-6c2b597b15e2,Tripterygiidae,,140,Nelson 1984
91ba3e0a-9e58-11ed-803c-6c2b597b15e2,Osteoglossidae,,140,Nelson 1984
91ba3ef2-9e58-11ed-803c-6c2b597b15e2,Lebiasinidae,,140,Nelson 1984
91ba3fdc-9e58-11ed-803c-6c2b597b15e2,Trichodontidae,,140,Nelson 1984
91ba40c3-9e58-11ed-803c-6c2b597b15e2,Hemiramphidae,,140,Nelson 1984
91ba41aa-9e58-11ed-803c-6c2b597b15e2,Chlopsidae,,140,Nelson 1984
91ba4294-9e58-11ed-803c-6c2b597b15e2,Astroblepidae,,140,Nelson 1984
91ba437e-9e58-11ed-803c-6c2b597b15e2,Trachipteridae,,140,Nelson 1984
91ba4463-9e58-11ed-803c-6c2b597b15e2,Leiognathidae,,140,Nelson 1984
91ba4548-9e58-11ed-803c-6c2b597b15e2,Ariommatidae,,140,Nelson 1984
91ba462d-9e58-11ed-803c-6c2b597b15e2,Arripidae,,140,Nelson 1984
91ba4714-9e58-11ed-803c-6c2b597b15e2,Harpagiferidae,,140,Nelson 1984
91ba47fa-9e58-11ed-803c-6c2b597b15e2,Colocongridae,,140,Nelson 1984
91ba48e0-9e58-11ed-803c-6c2b597b15e2,Callichthyidae,,140,Nelson 1984
91ba49c6-9e58-11ed-803c-6c2b597b15e2,Auchenipteridae,,140,Nelson 1984
91ba4aac-9e58-11ed-803c-6c2b597b15e2,Bregmacerotidae,,140,Nelson 1984
91ba4b91-9e58-11ed-803c-6c2b597b15e2,Narcinidae,,140,Nelson 1984
91ba4c79-9e58-11ed-803c-6c2b597b15e2,Ogcocephalidae,,140,Nelson 1984
91ba4d60-9e58-11ed-803c-6c2b597b15e2,Luvaridae,,140,Nelson 1984
91ba4e48-9e58-11ed-803c-6c2b597b15e2,Malacanthidae,,140,Nelson 1984
91ba4f2d-9e58-11ed-803c-6c2b597b15e2,Mullidae,,140,Nelson 1984
91ba5011-9e58-11ed-803c-6c2b597b15e2,Megalomycteridae,,140,Nelson 1984
91ba51b6-9e58-11ed-803c-6c2b597b15e2,Synaphobranchidae,,140,Nelson 1984
91ba52b7-9e58-11ed-803c-6c2b597b15e2,Lepisosteidae,,140,Nelson 1984
91ba53a0-9e58-11ed-803c-6c2b597b15e2,Triacanthodidae,,140,Nelson 1984
91ba548b-9e58-11ed-803c-6c2b597b15e2,Trachichthyidae,,140,Nelson 1984
91ba5575-9e58-11ed-803c-6c2b597b15e2,Aulopidae,,140,Nelson 1984
91ba5698-9e58-11ed-803c-6c2b597b15e2,Aulostomidae,,140,Nelson 1984
91ba577f-9e58-11ed-803c-6c2b597b15e2,Fistulariidae,,140,Nelson 1984
91ba5867-9e58-11ed-803c-6c2b597b15e2,Rivulidae,,140,Nelson 1984
91ba5951-9e58-11ed-803c-6c2b597b15e2,Nemichthyidae,,140,Nelson 1984
91ba5a3a-9e58-11ed-803c-6c2b597b15e2,Platycephalidae,,140,Nelson 1984
91ba5b22-9e58-11ed-803c-6c2b597b15e2,Platytroctidae,,140,Nelson 1984
91ba5c0f-9e58-11ed-803c-6c2b597b15e2,Barbourisiidae,,140,Nelson 1984
91ba5f04-9e58-11ed-803c-6c2b597b15e2,Chimaeridae,,140,Nelson 1984
91ba5ff1-9e58-11ed-803c-6c2b597b15e2,Chaunacidae,,140,Nelson 1984
91ba60d8-9e58-11ed-803c-6c2b597b15e2,Bathyclupeidae,,140,Nelson 1984
91ba61c5-9e58-11ed-803c-6c2b597b15e2,Chlorophthalmidae,,140,Nelson 1984
91ba62b3-9e58-11ed-803c-6c2b597b15e2,Stomiidae,,140,Nelson 1984
91ba639b-9e58-11ed-803c-6c2b597b15e2,Bathylagidae,,140,Nelson 1984
