"georreference_id"	"location_id"	"decimal_latitude"	"decimal_longitude"	"geodetic_datum"	"coordinate_uncertainty_in_meters"	"coordinate_precision"	"point_radius_spacial_fit"	"footprint_wkt"	"footprint_srs"	"footprint_spatial_fit"	"georreferenced_by"	"georreference_date"	"georreference_protocol"	"georreference_sources"	"georreference_remarks"	"preferred_spatial_representation"
"4efbe9961d3b448f39b4b43709a775a4"	"9735c5a7e0c046886a57d5f93acbfd89"	16.29417	-92.0441697	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"25af1b34fc5b21c966733074a1699b9a"	da182d6337bf1d69db7d53c0a7f0c057	23.09906	-98.7314527	WGS84	70.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
c37c41f5469326e87a6c886a5bcb8f66	"71c1b02974b9b937faf40318d1e536ca"	19.26722	-96.39333	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"6ba2683dfc6339c4bbc24dc00cb485cf"	"42cedfd86b0edea27e49a31f0e99b378"	20.1177797	-102.85083	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"1be800631f5e03f5403083e38fd592c0"	e6c4a5436aad57083cb383cfbc94ccf8	16.7477797	-92.28528	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"30075e37388d8a7e0dd9c15aca0ed6d1"	c42f67cc9d1229b8be44a0e223ec33bf	21.0465597	-88.37636	WGS84	70.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
e3f0fbe106079ce7d494c432062fd207	e78c4d8a953a3780d64a97e2fca7f653	21.05795	-100.61575	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
d42a632a8a749283c682df78c7dfe830	d94b4ef60a654d49fd40d60d51d94fbc	16.72417	-92.25028	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"1be800631f5e03f5403083e38fd592c0"	df041d08afb7f9bade0c2774efb2e51c	16.7477797	-92.28528	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"2cf7eab98f6bb1ea337ee93ea44bcdcd"	"6938ddbac3a72d10e37d990dc920df19"	16.9027797	-92.76833	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
