citation_target_id	citation_target_type	citation_reference_id	citation_type	citation_page_number	citation_remarks
0868ea47eab5d74bbdc3e13e4bd28f104357dae0	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
0868ea47eab5d74bbdc3e13e4bd28f104357dae0	PROTOCOL	f62a5181290a24080a61f3e57671c5061bd9480b	OTHER		
eda4fb9d0fa0f5e16a9e7cb6be91d6f6a3c4f16b	PROTOCOL	f6145f077cc6f46f1b146ab48798fe076fe18be8	OTHER		
eda4fb9d0fa0f5e16a9e7cb6be91d6f6a3c4f16b	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
5c4a0e93a0cc52d77c17793974b0b4fabfaa7a50	PROTOCOL	2b95caa4dfb5f63436f29e0748ef7790095b1f32	OTHER		
5c4a0e93a0cc52d77c17793974b0b4fabfaa7a50	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
f7ffad815f61df4991a7a48d13903f7e6737424c	PROTOCOL	186a0a34263771f8526a31f7cdad7c61dcab6108	OTHER		
f7ffad815f61df4991a7a48d13903f7e6737424c	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
3ede50e0e9551769320f72b154b0ad83937b76be	PROTOCOL	ca36fa4b6d1373ff7611b2013fe82d7686022227	OTHER		
3ede50e0e9551769320f72b154b0ad83937b76be	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
f8a726da354be9f5b23b946c853a4d6b51856ca8	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
f8e9cdaaf77f5babc298d86bccd39d3817ea3049	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
d3f5154abd6892bfc0759326f70d3df4b05ebe5e	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
d31fa80540106fa38de24b6eeeebb042ba2fe27d	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
d31fa80540106fa38de24b6eeeebb042ba2fe27d	PROTOCOL	b1189402042ce96d7f0d8f45cf72460fdd2a1c8f	OTHER		
faef50387c7952a2300f52cf24e4be767b9ce860	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
d2c6b4c4d0412e2ca3386f4ae9d62caba25e82c1	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
770666e34ccafbc1053cebcdecdd09856ae132f2	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
770666e34ccafbc1053cebcdecdd09856ae132f2	PROTOCOL	4420fadd5a6fc3706dc99992c605505fde65a19b	OTHER		
60223df992ca65b48da266fcc17c2fe0819c4298	PROTOCOL	f6145f077cc6f46f1b146ab48798fe076fe18be8	OTHER		
60223df992ca65b48da266fcc17c2fe0819c4298	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
ebe38165fba326ffdab7e773d243ceee21c6a9f6	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
f8e44203c3d8ae12ae2419c3ea76ba163bc79170	PROTOCOL	0282332639cc2d3e4691704a85d2bc967080ffa4	OTHER		
f8e44203c3d8ae12ae2419c3ea76ba163bc79170	PROTOCOL	5a597b00aa1fbbf2f73ca7d144626b3adbda406f	OTHER		
e1d45bb5608c1df7e1c7a0f3bd1f75bf8be54979	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
e1d45bb5608c1df7e1c7a0f3bd1f75bf8be54979	PROTOCOL	5c1a311cc3f009e7ce4165c3b9e7c4df67c7d451	OTHER		
75c4e2bea150041c495e0da18012aa275a44b94b	PROTOCOL	84e07fa62f5d45e22c26119928f71102b453fec1	OTHER		
75c4e2bea150041c495e0da18012aa275a44b94b	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
3e8ef38f2dec093cecf779ff72738a4346a3e4e2	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
3e8ef38f2dec093cecf779ff72738a4346a3e4e2	PROTOCOL	a46fa03823cabbd5ffc58e33090cf8acf91f46f8	OTHER		
48ac695da05fba44eccb66632e88f81f348d679a	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
48ac695da05fba44eccb66632e88f81f348d679a	PROTOCOL	ef709e5dd932c1fe7cf96217197ce3c195833dc3	OTHER		
49e3d3238ba455be343d87f25e231a07febfbc59	PROTOCOL	b1189402042ce96d7f0d8f45cf72460fdd2a1c8f	OTHER		
49e3d3238ba455be343d87f25e231a07febfbc59	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
184356c6ca5c1724ae113d83c39d401b2c0f1d8c	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
37e5b4c44961eb08d09a1fcf25ad6d688f50f7b8	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
37e5b4c44961eb08d09a1fcf25ad6d688f50f7b8	PROTOCOL	ea43ffdc595ccf3c07a343ec4d3bf47df2ff2896	OTHER		
65d1c9b528339176aa49366d7fad8939e7ac6982	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
1e8920e6d32d09b08b73b14f505c11b9e57b701d	PROTOCOL	4420fadd5a6fc3706dc99992c605505fde65a19b	OTHER		
1e8920e6d32d09b08b73b14f505c11b9e57b701d	PROTOCOL	a47f7e600b16fcb32d011eaba2cfabf76f9869f2	OTHER		
c77cf1371237609de9e575d0db59cac4be73bda9	PROTOCOL	f62a5181290a24080a61f3e57671c5061bd9480b	OTHER		
c77cf1371237609de9e575d0db59cac4be73bda9	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
bfb288261b0ee66d328fe5a2c41e93174de9cf5b	PROTOCOL	f6145f077cc6f46f1b146ab48798fe076fe18be8	OTHER		
bfb288261b0ee66d328fe5a2c41e93174de9cf5b	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
d3b596f0ca8d4e0b46f73201a6cde7be44ba66f6	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
d3b596f0ca8d4e0b46f73201a6cde7be44ba66f6	PROTOCOL	2b95caa4dfb5f63436f29e0748ef7790095b1f32	OTHER		
efe4f28143124ee239e9e533d77b59e6a6866236	PROTOCOL	186a0a34263771f8526a31f7cdad7c61dcab6108	OTHER		
efe4f28143124ee239e9e533d77b59e6a6866236	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
5504bcf395c67747e6414382eb93ec93abbdc4a8	PROTOCOL	ca36fa4b6d1373ff7611b2013fe82d7686022227	OTHER		
5504bcf395c67747e6414382eb93ec93abbdc4a8	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
