"taxon_id","scientific_name","scientific_name_authorship","name_according_to","taxon_rank","taxon_source","scientific_name_id","taxon_remarks","parent_taxon_id","taxonomic_status","kingdom","phylum","class","_order","family","subfamily","genus","subgenus","accepted_scientific_name","taxon_rank_infraespecificEpithet","infraespecificEpithet","taxon_rank_sub_infraespecificEpithet","subinfraespecificEpithet"
c37349fd013d2ad38286659c14665f2f,Tripsacum pilosum ,"Scribn. & Merr., 1901","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","41256ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum pilosum ,"","","",""
"4e4da33a35cd5570d073d5bc6dc79124",Tripsacum zopilotense ,"Hern.-Xol. & Randolph, 1950","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","43258ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum zopilotense ,"","","",""
"558983134a9a23fea90a6800e6b007bb",Tripsacum zopilotense ,"Hern.-Xol. & Randolph, 1950","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","43258ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum zopilotense ,"","","",""
c3f934597adb532d802dce4e1c91ad7b,Tripsacum cundinamarcae ,"de Wet & Timothy, 1981","Doebley, 1983",especie,"","79232ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum cundinamarcae ,"","","",""
"796d776d4bb36eba2b9bdcfe6633c9a2",Tripsacum peruvianum ,"de Wet & Timothy, 1981","Doebley, 1983",especie,"","79233ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum peruvianum ,"","","",""
"1e64bc11b62cde380fe19822f689ee7d",Tripsacum,"L., 1759","Soreng, Peterson, Romanschenko, Davidse, Zuloaga, Judziewicz, Filgueiras, Davis & Morrone, 2015",género,"","5466ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum,"","","",""
"5265aa2677924182c802bb293b41e78d",Tripsacum,"L., 1759","Soreng, Peterson, Romanschenko, Davidse, Zuloaga, Judziewicz, Filgueiras, Davis & Morrone, 2015",género,"","5466ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum,"","","",""
"63d66b8004dc57a87a53c30b204260ec",Zea mays mays Tuxpeño,"E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951","Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006",raza,"","79238ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"",Zea mays mays Tuxpeño,subespecie,mays,raza,Tuxpeño
"66d7666144b81c14f11e3425d2f050f3",Zea mays mays Tuxpeño,"E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951","Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006",raza,"","79238ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"",Zea mays mays Tuxpeño,subespecie,mays,raza,Tuxpeño
"6c7fbc86a9e40d8de6462f4e945a1eca",Zea mays mays Tuxpeño,"E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951","Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006",raza,"","79238ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"",Zea mays mays Tuxpeño,subespecie,mays,raza,Tuxpeño
