1.collectionobject.guid,"1,23.collection.primaryPurpose","1,29-collectionobjectcitations,69.referencework.guid","1,29-collectionobjectcitations,69.referencework.referenceWorkType","1,29-collectionobjectcitations.collectionobjectcitation.pageNumber","1,29-collectionobjectcitations.collectionobjectcitation.remarks"
dcb4bbd8-1ed3-11e3-bfac-90b11c41863e,Organism,e83b2f32-fb14-4a0e-a4f8-55cd57a94925,2,,
dc44d316-1ed3-11e3-bfac-90b11c41863e,Organism,2676c350-4381-4b47-8ddb-185388b8cb9c,2,,
dbd94a17-1ed3-11e3-bfac-90b11c41863e,Organism,1fb025e9-8075-4c62-bfff-b64880e641fc,2,,
dc9bd8bd-1ed3-11e3-bfac-90b11c41863e,Organism,f73f8d92-d101-4bc6-aa75-a6173247a0af,2,,
db2629f7-1ed3-11e3-bfac-90b11c41863e,Organism,f73f8d92-d101-4bc6-aa75-a6173247a0af,2,,
dbf15f7b-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
dbd44dea-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
db7826cc-1ed3-11e3-bfac-90b11c41863e,Organism,cc441480-1148-4646-ad72-3868b37a86e2,2,,
dc0283cb-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
dcadc262-1ed3-11e3-bfac-90b11c41863e,Organism,f73f8d92-d101-4bc6-aa75-a6173247a0af,2,,
db50bf67-1ed3-11e3-bfac-90b11c41863e,Organism,b0c40e03-9789-4c7c-88a6-26c1cd721c3f,2,,
db6824b7-1ed3-11e3-bfac-90b11c41863e,Organism,cc441480-1148-4646-ad72-3868b37a86e2,2,,
db5ade74-1ed3-11e3-bfac-90b11c41863e,Organism,1ebf2917-0161-4dfa-8f13-9745c0f6bc5a,2,,
dbd4134c-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
dbeeec5e-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
dca5f2c8-1ed3-11e3-bfac-90b11c41863e,Organism,1ebf2917-0161-4dfa-8f13-9745c0f6bc5a,2,,
dc0ef4f8-1ed3-11e3-bfac-90b11c41863e,Organism,985d553b-74c4-4419-8db7-d3a422e70700,2,,
dbd5f329-1ed3-11e3-bfac-90b11c41863e,Organism,0aa6fcb9-d16e-4636-8fef-a4ab6e70ca20,2,,
dc567348-1ed3-11e3-bfac-90b11c41863e,Organism,d92a3b92-74af-49f9-99a0-77d08fc6dabd,2,,
dbd0cbaa-1ed3-11e3-bfac-90b11c41863e,Organism,1fb025e9-8075-4c62-bfff-b64880e641fc,2,,
dc2310bd-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
