reference_id;reference_type;bibliographic_citation;reference_year;reference_iri;is_peer_reviewed
cb857faf-ae4f-6351-81ad-44e369bafce1;JOURNAL_ARTICLE;Breyne H. & Evrard C. (1975). Julbernadia pellegriana Troupin, Césalpiniacée nouvelle pour la flore du Zaïre. Bull. Jard. Bot. Nat. Belg. 45: 307–312.;1975;;
5ed0cdd2-3312-93ef-8d27-acf85cf6fc56;JOURNAL_ARTICLE;Brown N.E., Hutchinson, J. & Prain D. (1913). Euphorbiaceae. In: Thiselton-Dyer W. T. (ed.) Flora of tropical Africa 7 (1). Lovell Reeve & Co, Limited. London. Pp. 441–1094.;1913;;
68404e65-2514-5291-6a05-e82d3dc7c2dc;JOURNAL_ARTICLE;Brunel J.F. & Roux J. (1984). Phyllanthus subsect. Odontadenii (Euphorbiaceae) au nord du fleuve Congo (Afrique de l’Ouest). Addenda. Wildenowia 14: 379–391.;1984;https://www.jstor.org/stable/3996252;
8b079529-3d0e-c199-d311-d378c794d2c5;JOURNAL_ARTICLE;Burkill H.M. (1985). The useful plants of west tropical Africa 2 (1). Families A–D. Royal Botanic Gardens, Kew. U.K. 960 p.;1985;;
bde48eaf-1c25-5fbd-3018-a528599bd288;BOOK;Cable S. & Cheek M. (1998). The Plants of Mount Cameroon. A conservation checklist. Royal Botanic Gardens, Kew. London. 198 p.;1998;https://shop.kew.org/the-plants-of-mount-cameroon-a-conservation-checklist;
5857bba7-6732-6f20-f426-fe3face7019f;JOURNAL_ARTICLE;Champluvier D. & Darbyshire I. (2009). A revision of the genera Brachystephanus and Oreacanthus (Acanthaceae) in tropical Africa. Syst. Geogr. Pl. 79 (2): 115–192;2009;https://www.jstor.org/stable/25746605;
202e6cfd-92ac-c243-4d1a-28fc59b7e4e5;JOURNAL_ARTICLE;Champluvier D. & Figueiredo E. (1996). A new combination and a new name in Oreacanthus (Acanthaceae). Bull. Jard. Bot. Nat. Belg. 65 (3–4): 413–422.;1996;https://doi.org/10.2307/3668463;
9fde4929-de19-d16d-edca-b8cdda4b84ae;JOURNAL_ARTICLE;Champluvier D. (1991). Revision des genres Staurogyne Wall., Anisosepalum E.Hossain et Saintpauliopsis Staner (Acanthaceae) en Afrique tropicale. Bull. Jard. Bot. Nat. Belg. 61 (1/2): 93–159.;1991;https://doi.org/10.2307/3668447;
709b03ff-a1bd-8f2c-291d-64dffc870d04;BOOK;Champluvier D. (1993). Acanthaceae. Distributiones plantarum africanarum 40. Jardin Botanique National de Belgique. Meise.;1993;https://archive.org/details/distributionespl00jard/page/n7/mode/2up;
2d29856d-ca3d-77ee-a957-819671b97035;JOURNAL_ARTICLE;Cheek M. & Csiba, L. (2002b). A new epiphytic species of Impatiens (Balsaminaceae) from western Cameroon. Kew Bull. 57 (3): 669–674.;2002;https://doi.org/10.2307/4110997;
dd0014f2-e108-ceb4-459b-7c94d8aebcf3;JOURNAL_ARTICLE;Cheek M. & Fisher E. (1999). A tuberous and epiphytic new species of Impatiens (Balsaminaceae) from southern Cameroon. Kew Bull. 54 (2): 471–475.;1999;;
2b0d70ba-de35-ac4a-39e1-36165dffb610;JOURNAL_ARTICLE;Cheek M. (2000). A Synoptic revision of Ancistrocladus (Ancistrocladaceae) in Africa, with a new species from Western Cameroon. Kew Bull. 55: 871–882.;2000;https://doi.org/10.2307/4113632;
e2b6579f-8d44-22f1-125e-210782f49903;JOURNAL_ARTICLE;Cheek M. Onana, J.M. & Pollard B.J. (2000). The Plants of Mount Oku and the Ijim ridge, Cameroon. A conservation check-list. Royal Botanic Gardens, Kew. London. 211 p.;2000;https://doi.org/10.2307/1224539;
6f9c5e67-f482-6fed-5658-1510bf0c2430;JOURNAL_ARTICLE;Cheek M. Prenner, G. & Faden, R.B.(ined.)  (2000a) Palisota ebo sp. nov. (Commelinaceae) from Cameroon. Pl. Ecol. Evol. ;2000;;
2f91b83f-3046-fc50-b21e-15fb3b3ed193;JOURNAL_ARTICLE;Cheek M., Pollard, B.J., Darbyshire, I., Onana, J.-M. & Wild, C. (2004). The plants of Monts Kupe, Bakossi and Mwanengouba. A conservation check list. Royal Botanic Gardens, Kew. U.K. 504 p.;2004;;
2926742e-ddaa-fe3e-d515-db3cfc16f3c6;DISSERTATION;Couvreur T.L.P. (2008). Revealing the Secrets of African Annonaceae: Systematics, Evolution and Biogeography of the Syncarpous Genera Isolona and Monodora. Ph. D. Thesis. Wageningen University, The Nederlands. 295 p.;2008;https://edepot.wur.nl/16321;
93e61fdc-fd61-1bfa-cc5b-4e6eb9457c6c;JOURNAL_ARTICLE;Darbyshire I. & Cheek M. (2004). A new species of Peucedanum L. (Umbelliferae) from Mt Kupe, western Cameroon. Kew Bull. 59: 133–136.;2004;https://doi.org/10.2307/4111086;
76ad1081-3fa7-73d7-604f-cd7aec1e51f1;JOURNAL_ARTICLE;Darbyshire I., Pearce L. & Banks H. (2011). The genus Isoglossa (Acanthaceae) in West Africa. Kew Bull. 66 : 1–15. Published online: 14 october 2011.;2011;https://www.jstor.org/stable/23216196;
793deb02-03b2-8d89-8ee7-5d24863199c8;JOURNAL_ARTICLE;De Hoogh B. (1989). Dictyophleba Pierre. Series of revisions of Apocynaceae 28. Bull. Jard. Bot. Nat. Belg. 59 (1/2): 207–226.;1989;https://doi.org/10.2307/3668166;
59356d30-b87a-1e22-ea37-e8953e609767;JOURNAL_ARTICLE;De Jong B.H.J. (1979). A revision of the African species of Alstonia R. BR. (Apocynaceae). Mededelingen Landbouwhogeschool 79-13: 1–16.10;1979;https://core.ac.uk/download/pdf/29382808.pdf;
ce1f3b82-9606-85c1-9e06-c960ba2f1c14;JOURNAL_ARTICLE;De Wilde J.J.F.E. & Arends J.C. (1980). Begonia section Squamibegonia Warb. A taxonomic revision. Wageningen Misc. Papers 19 :377–421. ;1980;https://agris.fao.org/agris-search/search.do?recordID=NL2012080322;
2bee7069-3ae2-4a3b-9d39-08d8c96812ce;JOURNAL_ARTICLE;De Wilde J.J.F.E. (2002a). Studies in Begoniaceae 7. Wageningen Univ. Papers 2001-2: 1–258.;2022;https://edepot.wur.nl/166474;
25ffc329-9edc-5307-cb04-3eaa1fdad9cf;JOURNAL_ARTICLE;De Wilde J.J.F.E. (2002b). Begonia montis-elephantis (Begoniaceae). A new species in section Scutibegonia from Cameroon. In: De Wilde J.J.F.E. (ed.). Studies in Begoniaceae 7. Wageningen Univ. Papers 2001-2: 259–266.;2022;;
