taxon_id;scientific_name;scientific_name_authorship;name_according_to;name_according_to_id;taxon_rank;taxon_source;scientific_name_id;taxon_remarks;parent_taxon_id;taxonomic_status;kingdom;phylum;class;"""order""";family;subfamily;genus;subgenus;accepted_scientific_name
https://www.gbif.org/species/3054544;Erythrococca membranacea (Müll.Arg.) Prain;(Müll.Arg.) Prain;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;;Erythrococca;;Erythrococca membranacea 
https://www.gbif.org/species/3061402;Leeuwenbergia africana Letouzey & N.Hallé;Letouzey & N.Hallé;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;;Leeuwenbergia;;Leeuwenbergia africana 
https://www.gbif.org/species/7225747;Jatropha kamerunica var. kamerunica;;;;VARIETY;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;;Jatropha;;Jatropha kamerunica  var. kamerunica
https://www.gbif.org/species/3054683;Hamilcoa zenkeri (Pax) Prain;(Pax) Prain;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;;Hamilcoa;;Hamilcoa zenkeri 
https://www.gbif.org/species/3061393;Grossera major Pax;Pax;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;;Grossera;;Grossera major 
https://www.gbif.org/species/2976604;Isomacrolobium leptorrhachis (Harms) Aubrév. & Pellegr.;(Harms) Aubrév. & Pellegr.;;;SPECIES;;;;;SYNONYM;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Englerodendron;;Isomacrolobium leptorrhachis 
https://www.gbif.org/species/7302877;Leonardoxa africana subsp. africana;;;;SUBSPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Leonardoxa;;Leonardoxa africana  subsp. africana
https://www.gbif.org/species/8022170;Talbotiella bakossiensis Cheek;Cheek;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Talbotiella;;Talbotiella bakossiensis 
https://www.gbif.org/species/2941698;Gilbertiodendron demonstrans (Baill.) J.Léonard;(Baill.) J.Léonard;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Gilbertiodendron;;Gilbertiodendron demonstrans 
https://www.gbif.org/species/5355660;Oxystigma mannii (Baill.) Harms;(Baill.) Harms;;;SPECIES;;;;;SYNONYM;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Prioria;;Oxystigma mannii 
